description,vch_type,proposed_family,proposed_canonical_id,transaction_support,dominant_source_category_id,distinct_source_category_ids,source_category_purity,review_status,approved,evidence_note,risk_level,possible_synonym,synonym_review_note
cash withdraw,Transfer,Transfers,2007,24,0,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,SAFE_CANDIDATE,,
interest earned,Income,Income,2008,23,635,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,SAFE_CANDIDATE,,
atm draw,Transfer,Transfers,2007,22,0,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,SAFE_CANDIDATE,,
atm withdrawl,Transfer,Transfers,2007,22,0,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,SAFE_CANDIDATE,,
cash atm,Transfer,Transfers,2007,22,0,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,SAFE_CANDIDATE,,
atm withdraw,Transfer,Transfers,2007,20,0,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,SAFE_CANDIDATE,,
lunch,Transfer,Dining,2001,19,0,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,SAFE_CANDIDATE,,
petrol for scooty,Expense,Fuel,2002,19,606,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,SAFE_CANDIDATE,,
flipkart,Income,Shopping,2006,17,4,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,SAFE_CANDIDATE,,
petrol,Transfer,Fuel,2002,16,0,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,SAFE_CANDIDATE,,
milk,Transfer,Groceries,2009,16,0,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,SAFE_CANDIDATE,doodh,Possible multilingual/synonym case. Review before approval.
petty cash,Transfer,Transfers,2007,16,0,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,SAFE_CANDIDATE,,
office bike parking,Expense,Transport,2003,16,14,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,SAFE_CANDIDATE,,
bread,Transfer,Groceries,2009,15,0,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,SAFE_CANDIDATE,,
buy milk,Expense,Groceries,2009,15,41,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,SAFE_CANDIDATE,,
uber home ho,Expense,Transport,2003,15,21,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,SAFE_CANDIDATE,,
diesel,Transfer,Fuel,2002,14,0,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,SAFE_CANDIDATE,,
atm cash withdrawal,Transfer,Transfers,2007,14,0,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,SAFE_CANDIDATE,,
internal transfer,Transfer,Transfers,2007,14,0,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,SAFE_CANDIDATE,,
bike fuel monthly,Expense,Fuel,2002,13,14,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,SAFE_CANDIDATE,,
cash transfer,Transfer,Transfers,2007,13,0,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,SAFE_CANDIDATE,,
electricity bill,Transfer,Utilities,2004,13,0,1,1.0,REVIEW_REQUIRED,False,Machine-generated proposal based on description and transaction type. No mapping has been applied.,SAFE_CANDIDATE,,
